Plik: ./data/had12.dat

Parameters:
pop_size=100,gen=100,Px=0.7,Pm0.0,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<1,1796,1888,1978>
<2,1778,1900,1990>
<3,1764,1895,1978>
<4,1730,1881,2002>
<5,1726,1864,1992>
<6,1726,1855,1978>
<7,1726,1835,1968>
<8,1726,1810,1922>
<9,1726,1804,1922>
<10,1726,1808,1908>
<11,1712,1808,1914>
<12,1712,1806,1914>
<13,1712,1790,1914>
<14,1700,1783,1914>
<15,1700,1765,1826>
<16,1700,1761,1844>
<17,1700,1754,1826>
<18,1700,1748,1784>
<19,1700,1743,1794>
<20,1700,1740,1794>
<21,1700,1741,1794>
<22,1700,1749,1794>
<23,1700,1754,1802>
<24,1700,1752,1794>
<25,1700,1759,1804>
<26,1700,1763,1810>
<27,1700,1762,1804>
<28,1700,1756,1804>
<29,1700,1748,1804>
<30,1700,1736,1804>
<31,1700,1732,1780>
<32,1700,1733,1764>
<33,1700,1730,1778>
<34,1700,1726,1778>
<35,1700,1730,1778>
<36,1700,1726,1778>
<37,1700,1732,1778>
<38,1700,1729,1762>
<39,1700,1725,1762>
<40,1700,1726,1762>
<41,1700,1725,1762>
<42,1700,1726,1762>
<43,1700,1728,1762>
<44,1700,1728,1762>
<45,1700,1724,1762>
<46,1700,1723,1752>
<47,1700,1729,1762>
<48,1700,1727,1762>
<49,1700,1723,1762>
<50,1700,1722,1762>
<51,1700,1721,1762>
<52,1700,1721,1762>
<53,1700,1718,1722>
<54,1700,1718,1722>
<55,1700,1717,1722>
<56,1700,1717,1700>
<57,1700,1717,1700>
<58,1700,1717,1700>
<59,1700,1717,1700>
<60,1700,1717,1700>
<61,1700,1717,1700>
<62,1700,1717,1700>
<63,1700,1717,1700>
<64,1700,1717,1700>
<65,1700,1717,1700>
<66,1700,1717,1700>
<67,1700,1717,1700>
<68,1700,1717,1700>
<69,1700,1717,1700>
<70,1700,1717,1700>
<71,1700,1717,1700>
<72,1700,1717,1700>
<73,1700,1717,1700>
<74,1700,1717,1700>
<75,1700,1717,1700>
<76,1700,1717,1700>
<77,1700,1717,1700>
<78,1700,1717,1700>
<79,1700,1717,1700>
<80,1700,1717,1700>
<81,1700,1717,1700>
<82,1700,1717,1700>
<83,1700,1717,1700>
<84,1700,1717,1700>
<85,1700,1717,1700>
<86,1700,1717,1700>
<87,1700,1717,1700>
<88,1700,1717,1700>
<89,1700,1717,1700>
<90,1700,1717,1700>
<91,1700,1717,1700>
<92,1700,1717,1700>
<93,1700,1717,1700>
<94,1700,1717,1700>
<95,1700,1717,1700>
<96,1700,1717,1700>
<97,1700,1717,1700>
<98,1700,1717,1700>
<99,1700,1717,1700>
<100,1700,1717,1700>
Best: [9 4 8 1 7 6 12 5 11 2 10 3],1700

2 uruchomienie
<1,1764,1888,2016>
<2,1764,1914,2016>
<3,1764,1892,2016>
<4,1742,1885,2014>
<5,1722,1867,2014>
<6,1710,1871,1998>
<7,1710,1849,1998>
<8,1710,1862,2026>
<9,1710,1882,2026>
<10,1706,1870,2026>
<11,1706,1849,2000>
<12,1700,1826,1976>
<13,1700,1836,1996>
<14,1700,1814,1976>
<15,1700,1803,1966>
<16,1700,1801,1920>
<17,1700,1796,1896>
<18,1700,1788,1880>
<19,1700,1794,1904>
<20,1700,1790,1904>
<21,1696,1785,1868>
<22,1696,1769,1868>
<23,1696,1757,1862>
<24,1696,1777,1880>
<25,1696,1762,1880>
<26,1696,1770,1880>
<27,1696,1768,1880>
<28,1696,1777,1880>
<29,1696,1770,1880>
<30,1696,1766,1872>
<31,1696,1772,1862>
<32,1696,1774,1872>
<33,1696,1768,1862>
<34,1696,1772,1850>
<35,1696,1780,1852>
<36,1696,1774,1850>
<37,1696,1767,1850>
<38,1696,1772,1850>
<39,1696,1773,1850>
<40,1696,1781,1850>
<41,1696,1783,1848>
<42,1696,1785,1848>
