Plik: ./data/had12.dat

Parameters:
pop_size=100,gen=100,Px=0.7,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<1,1758,1888,2012>
<2,1758,1896,1982>
<3,1758,1886,1956>
<4,1742,1878,1956>
<5,1740,1881,1982>
<6,1716,1862,1982>
<7,1706,1853,1984>
<8,1706,1825,1954>
<9,1706,1836,1954>
<10,1706,1844,1974>
<11,1706,1841,1958>
<12,1706,1834,1968>
<13,1706,1826,1982>
<14,1706,1812,1982>
<15,1706,1824,1952>
<16,1706,1809,1948>
<17,1706,1803,1936>
<18,1706,1798,1900>
<19,1706,1796,1936>
<20,1704,1776,1906>
<21,1704,1764,1866>
<22,1696,1769,1896>
<23,1696,1766,1896>
<24,1696,1752,1896>
<25,1696,1767,1896>
<26,1696,1762,1882>
<27,1696,1745,1876>
<28,1696,1748,1860>
<29,1696,1759,1870>
<30,1696,1771,1890>
<31,1696,1755,1890>
<32,1696,1746,1850>
<33,1696,1738,1842>
<34,1696,1732,1842>
<35,1694,1725,1782>
<36,1694,1727,1796>
<37,1694,1726,1774>
<38,1694,1722,1796>
<39,1694,1719,1810>
<40,1694,1720,1774>
<41,1694,1719,1810>
<42,1690,1719,1810>
<43,1690,1719,1800>
<44,1684,1723,1888>
<45,1684,1731,1888>
<46,1684,1738,1896>
<47,1684,1749,1896>
<48,1684,1763,1896>
<49,1684,1772,1896>
<50,1684,1759,1886>
<51,1684,1746,1886>
<52,1684,1760,1880>
<53,1684,1749,1880>
<54,1684,1748,1872>
<55,1684,1735,1872>
<56,1684,1735,1872>
<57,1684,1744,1856>
<58,1684,1738,1838>
<59,1684,1737,1810>
<60,1684,1747,1856>
<61,1684,1737,1828>
<62,1684,1750,1930>
<63,1684,1751,1900>
<64,1684,1755,1900>
<65,1684,1747,1900>
<66,1684,1747,1870>
<67,1684,1749,1870>
<68,1684,1746,1870>
<69,1684,1750,1870>
<70,1684,1753,1870>
<71,1684,1734,1870>
<72,1684,1742,1834>
<73,1684,1740,1836>
<74,1684,1749,1836>
<75,1684,1739,1798>
<76,1684,1730,1798>
<77,1684,1722,1798>
<78,1684,1727,1798>
<79,1684,1731,1798>
<80,1684,1740,1838>
<81,1684,1739,1828>
<82,1684,1731,1798>
<83,1684,1727,1798>
<84,1684,1724,1930>
<85,1684,1714,1852>
<86,1684,1713,1798>
<87,1684,1725,1824>
<88,1684,1719,1870>
<89,1684,1721,1798>
<90,1684,1723,1818>
<91,1684,1718,1798>
<92,1684,1720,1798>
<93,1684,1711,1824>
<94,1684,1714,1798>
<95,1684,1709,1798>
<96,1684,1709,1798>
<97,1684,1705,1798>
<98,1684,1704,1798>
<99,1684,1712,1814>
<100,1684,1706,1798>
Best: [9 1 7 4 6 12 11 10 8 5 2 3],1684

2 uruchomienie
<1,1764,1883,1998>
<2,1744,1899,1996>
<3,1744,1886,1992>
<4,1742,1859,1996>
<5,1704,1829,2022>
<6,1704,1833,1992>
<7,1704,1819,1940>
<8,1698,1812,1940>
<9,1698,1810,1940>
<10,1698,1813,1968>
<11,1684,1798,1968>
<12,1684,1813,2008>
<13,1684,1800,1968>
<14,1684,1799,1930>
<15,1684,1807,1942>
<16,1684,1804,1908>
<17,1684,1809,1908>
<18,1684,1808,1908>
<19,1684,1799,1890>
<20,1684,1799,1862>
<21,1684,1787,1874>
<22,1684,1782,1874>
<23,1684,1790,1874>
<24,1684,1789,1888>
<25,1684,1799,1894>
<26,1684,1807,1894>
<27,1684,1813,1894>
<28,1684,1805,1888>
<29,1684,1817,1888>
<30,1684,1830,1888>
<31,1684,1827,1888>
<32,1684,1825,1888>
<33,1684,1831,1888>
<34,1684,1810,1888>
<35,1684,1806,1888>
<36,1684,1794,1898>
<37,1684,1822,1888>
<38,1684,1812,1888>
<39,1684,1814,1888>
<40,1684,1825,1888>
<41,1684,1826,1906>
<42,1684,1826,1888>
