Plik: ./data/had12.dat

Parameters:
pop_size=100,gen=100,Px=0.0,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<1,1766,1886,2040>
<2,1766,1901,1984>
<3,1766,1880,1984>
<4,1766,1867,1954>
<5,1766,1873,1954>
<6,1766,1877,1954>
<7,1766,1865,1954>
<8,1766,1847,1954>
<9,1766,1857,1952>
<10,1766,1858,1952>
<11,1766,1830,1952>
<12,1766,1836,1952>
<13,1766,1835,1952>
<14,1766,1838,1952>
<15,1766,1839,1952>
<16,1766,1828,1920>
<17,1766,1812,1920>
<18,1766,1822,1920>
<19,1766,1817,1920>
<20,1766,1811,1920>
<21,1766,1808,1920>
<22,1766,1808,1920>
<23,1766,1808,1920>
<24,1766,1825,1920>
<25,1766,1825,1920>
<26,1766,1812,1920>
<27,1766,1795,1920>
<28,1766,1786,1920>
<29,1766,1785,1920>
<30,1766,1783,1766>
<31,1766,1783,1766>
<32,1766,1783,1766>
<33,1766,1783,1766>
<34,1766,1783,1766>
<35,1766,1783,1766>
<36,1766,1783,1766>
<37,1766,1783,1766>
<38,1766,1783,1766>
<39,1766,1783,1766>
<40,1766,1783,1766>
<41,1766,1783,1766>
<42,1766,1783,1766>
<43,1766,1783,1766>
<44,1766,1783,1766>
<45,1766,1783,1766>
<46,1766,1783,1766>
<47,1766,1783,1766>
<48,1766,1783,1766>
<49,1766,1783,1766>
<50,1766,1783,1766>
<51,1766,1783,1766>
<52,1766,1783,1766>
<53,1766,1783,1766>
<54,1766,1783,1766>
<55,1766,1783,1766>
<56,1766,1783,1766>
<57,1766,1783,1766>
<58,1766,1783,1766>
<59,1766,1783,1766>
<60,1766,1783,1766>
<61,1766,1783,1766>
<62,1766,1783,1766>
<63,1766,1783,1766>
<64,1766,1783,1766>
<65,1766,1783,1766>
<66,1766,1783,1766>
<67,1766,1783,1766>
<68,1766,1783,1766>
<69,1766,1783,1766>
<70,1766,1783,1766>
<71,1766,1783,1766>
<72,1766,1783,1766>
<73,1766,1783,1766>
<74,1766,1783,1766>
<75,1766,1783,1766>
<76,1766,1783,1766>
<77,1766,1783,1766>
<78,1766,1783,1766>
<79,1766,1783,1766>
<80,1766,1783,1766>
<81,1766,1783,1766>
<82,1766,1783,1766>
<83,1766,1783,1766>
<84,1766,1783,1766>
<85,1766,1783,1766>
<86,1766,1783,1766>
<87,1766,1783,1766>
<88,1766,1783,1766>
<89,1766,1783,1766>
<90,1766,1783,1766>
<91,1766,1783,1766>
<92,1766,1783,1766>
<93,1766,1783,1766>
<94,1766,1783,1766>
<95,1766,1783,1766>
<96,1766,1783,1766>
<97,1766,1783,1766>
<98,1766,1783,1766>
<99,1766,1783,1766>
<100,1766,1783,1766>
Best: [1 4 5 8 12 11 6 10 3 2 7 9],1766

2 uruchomienie
<1,1778,1890,2000>
<2,1778,1913,2000>
<3,1778,1904,1992>
<4,1778,1885,1958>
<5,1778,1872,1958>
<6,1778,1867,1958>
<7,1778,1861,1958>
<8,1778,1853,1958>
<9,1778,1845,1958>
<10,1778,1845,1958>
<11,1778,1862,1958>
<12,1778,1850,1958>
<13,1778,1865,1958>
<14,1778,1852,1958>
<15,1778,1846,1958>
<16,1778,1840,1958>
<17,1778,1826,1958>
<18,1778,1847,1958>
<19,1778,1824,1958>
<20,1778,1820,1958>
<21,1778,1801,1958>
<22,1778,1795,1778>
<23,1778,1795,1778>
<24,1778,1795,1778>
<25,1778,1795,1778>
<26,1778,1795,1778>
<27,1778,1795,1778>
<28,1778,1795,1778>
<29,1778,1795,1778>
<30,1778,1795,1778>
<31,1778,1795,1778>
<32,1778,1795,1778>
<33,1778,1795,1778>
<34,1778,1795,1778>
<35,1778,1795,1778>
<36,1778,1795,1778>
<37,1778,1795,1778>
<38,1778,1795,1778>
<39,1778,1795,1778>
<40,1778,1795,1778>
<41,1778,1795,1778>
<42,1778,1795,1778>
