Plik: ./data/had12.dat

Parameters:
pop_size=100,gen=100,Px=0.7,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<1,1778,1892,2018>
<2,1770,1916,1990>
<3,1770,1911,2012>
<4,1770,1907,2012>
<5,1770,1907,2012>
<6,1770,1902,2008>
<7,1738,1907,2000>
<8,1732,1907,1992>
<9,1732,1891,1974>
<10,1732,1889,1972>
<11,1732,1891,1990>
<12,1732,1892,1998>
<13,1732,1893,1990>
<14,1732,1892,1990>
<15,1732,1896,1984>
<16,1732,1905,2030>
<17,1732,1891,2004>
<18,1732,1892,2004>
<19,1714,1893,2004>
<20,1714,1896,2004>
<21,1714,1900,2020>
<22,1714,1896,2020>
<23,1714,1893,2040>
<24,1714,1891,2018>
<25,1714,1887,2018>
<26,1714,1883,2018>
<27,1714,1871,1978>
<28,1714,1863,1976>
<29,1714,1861,1950>
<30,1714,1850,1938>
<31,1714,1848,1930>
<32,1714,1848,1918>
<33,1714,1839,1918>
<34,1714,1847,1918>
<35,1714,1848,1918>
<36,1714,1839,1904>
<37,1714,1838,1898>
<38,1714,1832,1902>
<39,1714,1828,1916>
<40,1714,1824,1884>
<41,1714,1823,1884>
<42,1714,1821,1914>
<43,1714,1827,1898>
<44,1714,1817,1882>
<45,1714,1816,1898>
<46,1714,1817,1898>
<47,1714,1813,1898>
<48,1714,1812,1898>
<49,1714,1811,1886>
<50,1714,1816,1890>
<51,1714,1818,1894>
<52,1714,1824,1914>
<53,1714,1820,1914>
<54,1714,1822,1894>
<55,1714,1822,1914>
<56,1714,1821,1894>
<57,1714,1816,1894>
<58,1714,1820,1892>
<59,1714,1823,1904>
<60,1714,1820,1900>
<61,1714,1819,1902>
<62,1714,1828,1888>
<63,1712,1822,1912>
<64,1712,1826,1912>
<65,1712,1822,1888>
<66,1712,1825,1888>
<67,1712,1828,1888>
<68,1712,1829,1888>
<69,1704,1835,1896>
<70,1704,1839,1902>
<71,1704,1830,1936>
<72,1704,1837,1936>
<73,1704,1827,1884>
<74,1704,1832,1900>
<75,1704,1828,1934>
<76,1704,1825,1934>
<77,1702,1824,1932>
<78,1702,1829,1928>
<79,1702,1822,1880>
<80,1702,1817,1908>
<81,1700,1812,1896>
<82,1700,1811,1884>
<83,1700,1814,1884>
<84,1700,1813,1912>
<85,1700,1809,1878>
<86,1700,1815,1886>
<87,1700,1819,1886>
<88,1700,1824,1886>
<89,1700,1832,1890>
<90,1700,1829,1890>
<91,1700,1828,1890>
<92,1700,1824,1890>
<93,1700,1824,1916>
<94,1700,1825,1880>
<95,1700,1832,1900>
<96,1700,1834,1898>
<97,1700,1835,1886>
<98,1700,1831,1866>
<99,1700,1832,1892>
<100,1700,1828,1896>
Best: [8 1 4 7 6 2 12 11 9 5 3 10],1700

2 uruchomienie
<1,1770,1882,1992>
<2,1750,1901,1996>
<3,1750,1907,2038>
<4,1750,1905,2038>
<5,1732,1901,2008>
<6,1732,1897,1996>
<7,1732,1895,2002>
<8,1732,1900,2006>
<9,1732,1907,2022>
<10,1732,1899,2016>
<11,1732,1900,2002>
<12,1706,1908,2008>
<13,1706,1912,2008>
<14,1706,1912,1990>
<15,1706,1914,1986>
<16,1706,1916,1984>
<17,1706,1922,1984>
<18,1706,1916,2002>
<19,1706,1908,2000>
<20,1706,1910,2000>
<21,1706,1910,2018>
<22,1706,1894,2000>
<23,1674,1898,2000>
<24,1674,1896,2004>
<25,1674,1893,1986>
<26,1674,1894,1992>
<27,1674,1903,1992>
<28,1674,1894,1980>
<29,1674,1910,2010>
<30,1674,1912,2010>
<31,1674,1914,2028>
<32,1674,1913,2028>
<33,1674,1907,2026>
<34,1674,1912,2018>
<35,1674,1912,2018>
<36,1674,1903,1998>
<37,1674,1903,2010>
<38,1674,1915,2020>
<39,1674,1920,2020>
<40,1674,1912,2024>
<41,1674,1909,2020>
<42,1674,1914,2020>
