Plik: ./data/had12.dat

Parameters:
pop_size=100,gen=100,Px=0.7,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<1,1788,1888,2008>
<2,1768,1900,1986>
<3,1768,1900,1986>
<4,1768,1899,1994>
<5,1768,1902,2010>
<6,1742,1893,2020>
<7,1742,1897,2020>
<8,1742,1898,2020>
<9,1730,1891,2020>
<10,1730,1888,2060>
<11,1730,1891,2056>
<12,1730,1895,2056>
<13,1730,1890,2056>
<14,1730,1888,2056>
<15,1730,1884,1998>
<16,1730,1885,1994>
<17,1730,1891,1988>
<18,1730,1894,1988>
<19,1730,1894,1988>
<20,1730,1892,2016>
<21,1718,1899,2016>
<22,1718,1883,2016>
<23,1718,1894,2016>
<24,1718,1887,2016>
<25,1718,1892,1988>
<26,1718,1893,2002>
<27,1718,1887,2002>
<28,1718,1893,2002>
<29,1718,1882,2002>
<30,1718,1881,1972>
<31,1718,1890,1996>
<32,1718,1888,1994>
<33,1718,1890,1994>
<34,1710,1893,1994>
<35,1710,1905,1994>
<36,1710,1909,1992>
<37,1710,1900,1992>
<38,1710,1899,2002>
<39,1710,1898,1982>
<40,1710,1900,1978>
<41,1710,1894,1974>
<42,1710,1895,1976>
<43,1710,1904,1964>
<44,1710,1900,1970>
<45,1710,1904,1990>
<46,1710,1909,1990>
<47,1710,1911,1976>
<48,1710,1915,1976>
<49,1710,1912,1980>
<50,1710,1918,1978>
<51,1710,1912,1976>
<52,1710,1912,1974>
<53,1710,1912,1962>
<54,1710,1918,1978>
<55,1710,1913,1988>
<56,1710,1913,1988>
<57,1710,1909,1990>
<58,1710,1919,1994>
<59,1710,1925,1982>
<60,1710,1922,1964>
<61,1710,1915,1970>
<62,1710,1925,1970>
<63,1710,1932,1982>
<64,1710,1934,2000>
<65,1710,1928,2022>
<66,1710,1929,2022>
<67,1710,1928,2022>
<68,1710,1925,2022>
<69,1710,1934,2022>
<70,1710,1939,2022>
<71,1710,1939,2022>
<72,1710,1936,2022>
<73,1710,1936,2022>
<74,1710,1927,2018>
<75,1710,1934,2022>
<76,1710,1936,2000>
<77,1710,1935,2006>
<78,1710,1936,2002>
<79,1710,1933,2016>
<80,1710,1935,2016>
<81,1710,1939,2008>
<82,1710,1939,2008>
<83,1710,1932,2000>
<84,1710,1932,2000>
<85,1710,1931,2000>
<86,1710,1929,2000>
<87,1710,1932,2000>
<88,1710,1933,2000>
<89,1710,1941,2000>
<90,1710,1938,2000>
<91,1710,1943,2000>
<92,1710,1944,2000>
<93,1710,1943,2006>
<94,1710,1946,2000>
<95,1710,1941,2012>
<96,1710,1942,2010>
<97,1710,1952,2010>
<98,1710,1949,2012>
<99,1710,1950,2022>
<100,1710,1941,2012>
Best: [9 4 8 1 7 2 11 12 6 5 10 3],1710

2 uruchomienie
<1,1776,1892,1988>
<2,1776,1912,1988>
<3,1776,1913,1988>
<4,1750,1898,1988>
<5,1744,1890,1998>
<6,1744,1895,1992>
<7,1744,1891,2010>
<8,1744,1890,1992>
<9,1744,1889,2030>
<10,1744,1891,2044>
<11,1744,1889,2044>
<12,1744,1897,2036>
<13,1744,1894,2044>
<14,1744,1897,1978>
<15,1744,1884,1982>
<16,1744,1890,1976>
<17,1744,1890,1978>
<18,1744,1892,1978>
<19,1744,1894,1992>
<20,1744,1894,1992>
<21,1744,1891,1988>
<22,1744,1887,1980>
<23,1744,1886,1976>
<24,1744,1882,1976>
<25,1744,1887,1964>
<26,1744,1878,1974>
<27,1720,1881,1976>
<28,1720,1880,1974>
<29,1720,1868,1964>
<30,1720,1874,1964>
<31,1720,1869,1986>
<32,1720,1864,1986>
<33,1720,1864,1986>
<34,1720,1863,1942>
<35,1720,1860,1966>
<36,1720,1861,1940>
<37,1720,1861,1940>
<38,1720,1857,1938>
<39,1720,1856,1956>
<40,1720,1856,1942>
<41,1720,1855,1972>
<42,1720,1855,1972>
