Plik: ./data/had12.dat

Parameters:
pop_size=100,gen=100,Px=0.8,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<1,1788,1889,2008>
<2,1776,1900,1998>
<3,1776,1896,1998>
<4,1768,1884,1976>
<5,1768,1877,2064>
<6,1768,1892,2000>
<7,1758,1894,2030>
<8,1752,1892,2014>
<9,1752,1897,2020>
<10,1708,1891,2020>
<11,1708,1886,2014>
<12,1702,1878,2014>
<13,1702,1869,2014>
<14,1702,1853,2010>
<15,1702,1838,2010>
<16,1702,1816,1990>
<17,1692,1803,1946>
<18,1682,1798,1946>
<19,1680,1796,1956>
<20,1680,1785,1946>
<21,1680,1776,1946>
<22,1680,1755,1946>
<23,1680,1741,1850>
<24,1680,1744,1850>
<25,1680,1747,1846>
<26,1680,1746,1846>
<27,1680,1754,1824>
<28,1680,1736,1826>
<29,1680,1743,1836>
<30,1680,1751,1826>
<31,1680,1754,1826>
<32,1680,1743,1826>
<33,1680,1730,1804>
<34,1680,1732,1804>
<35,1680,1724,1802>
<36,1680,1728,1802>
<37,1680,1724,1802>
<38,1680,1717,1792>
<39,1680,1712,1792>
<40,1680,1710,1792>
<41,1680,1714,1792>
<42,1680,1706,1802>
<43,1680,1700,1790>
<44,1680,1702,1790>
<45,1680,1698,1700>
<46,1680,1698,1760>
<47,1680,1699,1736>
<48,1680,1698,1702>
<49,1680,1698,1702>
<50,1680,1698,1702>
<51,1680,1699,1758>
<52,1680,1697,1714>
<53,1680,1699,1714>
<54,1680,1699,1742>
<55,1680,1697,1710>
<56,1680,1697,1710>
<57,1680,1698,1760>
<58,1680,1697,1710>
<59,1680,1699,1746>
<60,1680,1701,1804>
<61,1680,1702,1804>
<62,1680,1700,1794>
<63,1680,1700,1806>
<64,1680,1699,1806>
<65,1680,1698,1806>
<66,1680,1699,1806>
<67,1680,1700,1806>
<68,1680,1701,1806>
<69,1680,1699,1806>
<70,1680,1699,1806>
<71,1680,1698,1820>
<72,1680,1699,1846>
<73,1680,1697,1760>
<74,1680,1698,1824>
<75,1680,1699,1756>
<76,1676,1696,1680>
<77,1676,1697,1772>
<78,1676,1701,1772>
<79,1676,1704,1786>
<80,1676,1715,1844>
<81,1676,1703,1814>
<82,1676,1704,1732>
<83,1676,1704,1734>
<84,1670,1708,1814>
<85,1670,1714,1814>
<86,1670,1711,1814>
<87,1670,1722,1814>
<88,1670,1722,1818>
<89,1670,1733,1818>
<90,1670,1717,1826>
<91,1670,1726,1826>
<92,1670,1745,1826>
<93,1670,1754,1848>
<94,1670,1742,1848>
<95,1670,1769,1848>
<96,1670,1776,1848>
<97,1670,1764,1848>
<98,1670,1774,1848>
<99,1670,1777,1848>
<100,1670,1777,1848>
Best: [8 1 4 7 6 11 5 2 9 12 10 3],1670

2 uruchomienie
<1,1798,1897,1982>
<2,1768,1915,1998>
<3,1734,1907,1992>
<4,1734,1902,2006>
<5,1720,1879,1990>
<6,1720,1873,1972>
<7,1720,1857,1972>
<8,1720,1848,1978>
<9,1720,1848,1964>
<10,1720,1864,1946>
<11,1720,1855,1956>
<12,1720,1842,1944>
<13,1720,1830,1934>
<14,1720,1828,1930>
<15,1720,1833,1930>
<16,1720,1831,1930>
<17,1720,1820,1908>
<18,1720,1815,1908>
<19,1720,1806,1902>
<20,1720,1801,1928>
<21,1720,1796,1918>
<22,1720,1790,1918>
<23,1720,1777,1878>
<24,1720,1786,1878>
<25,1720,1784,1858>
<26,1720,1778,1864>
<27,1720,1775,1858>
<28,1720,1761,1852>
<29,1720,1771,1858>
<30,1720,1771,1858>
<31,1720,1779,1858>
<32,1720,1783,1858>
<33,1720,1786,1858>
<34,1720,1782,1844>
<35,1720,1790,1858>
<36,1720,1789,1858>
<37,1720,1782,1858>
<38,1720,1785,1858>
<39,1720,1777,1854>
<40,1720,1773,1820>
<41,1720,1778,1814>
<42,1720,1771,1824>
