Plik: ./data/had12.dat

Parameters:
pop_size=100,gen=100,Px=0.7,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<1,1770,1890,2032>
<2,1770,1915,1990>
<3,1770,1899,1970>
<4,1770,1898,1974>
<5,1726,1895,1978>
<6,1726,1888,1978>
<7,1726,1886,1978>
<8,1726,1889,1974>
<9,1726,1888,1984>
<10,1726,1871,2004>
<11,1726,1856,1968>
<12,1726,1842,1972>
<13,1726,1839,1942>
<14,1726,1836,1942>
<15,1726,1837,1942>
<16,1726,1846,1964>
<17,1726,1836,1942>
<18,1726,1825,1922>
<19,1726,1831,1936>
<20,1726,1843,1964>
<21,1726,1846,1942>
<22,1726,1852,1942>
<23,1726,1851,1940>
<24,1726,1816,1940>
<25,1726,1819,1940>
<26,1724,1794,1948>
<27,1724,1795,1934>
<28,1724,1801,1936>
<29,1724,1798,1934>
<30,1724,1789,1896>
<31,1724,1789,1900>
<32,1724,1783,1900>
<33,1724,1783,1924>
<34,1724,1793,1898>
<35,1724,1803,1924>
<36,1724,1801,1896>
<37,1724,1790,1896>
<38,1724,1799,1952>
<39,1724,1803,1952>
<40,1724,1798,1952>
<41,1724,1798,1942>
<42,1724,1793,1952>
<43,1724,1796,1952>
<44,1724,1782,1908>
<45,1720,1775,1884>
<46,1720,1777,1900>
<47,1716,1779,1900>
<48,1716,1780,1890>
<49,1716,1783,1876>
<50,1716,1781,1894>
<51,1716,1789,1874>
<52,1716,1769,1864>
<53,1716,1771,1834>
<54,1716,1775,1882>
<55,1716,1773,1862>
<56,1716,1776,1862>
<57,1716,1782,1862>
<58,1716,1780,1862>
<59,1716,1782,1862>
<60,1700,1784,1862>
<61,1700,1781,1834>
<62,1700,1768,1834>
<63,1700,1751,1834>
<64,1700,1750,1818>
<65,1700,1745,1818>
<66,1700,1743,1810>
<67,1700,1740,1834>
<68,1700,1746,1902>
<69,1700,1747,1808>
<70,1700,1748,1806>
<71,1700,1743,1806>
<72,1700,1739,1806>
<73,1700,1762,1806>
<74,1700,1770,1822>
<75,1700,1769,1822>
<76,1700,1766,1830>
<77,1700,1776,1828>
<78,1700,1781,1828>
<79,1700,1767,1828>
<80,1700,1758,1802>
<81,1700,1752,1828>
<82,1700,1750,1828>
<83,1700,1747,1828>
<84,1700,1744,1828>
<85,1700,1740,1828>
<86,1700,1722,1828>
<87,1700,1725,1828>
<88,1700,1731,1828>
<89,1700,1725,1828>
<90,1700,1723,1828>
<91,1700,1722,1836>
<92,1696,1721,1836>
<93,1696,1720,1836>
<94,1696,1729,1836>
<95,1696,1729,1836>
<96,1696,1742,1836>
<97,1696,1739,1836>
<98,1696,1739,1836>
<99,1696,1737,1814>
<100,1696,1747,1814>
Best: [8 3 2 7 12 11 6 1 10 5 9 4],1696

2 uruchomienie
<1,1726,1887,1994>
<2,1726,1896,2018>
<3,1720,1887,1994>
<4,1720,1882,1986>
<5,1720,1873,1978>
<6,1720,1857,1970>
<7,1718,1843,1962>
<8,1714,1824,1966>
<9,1714,1815,1982>
<10,1694,1801,1920>
<11,1694,1797,1926>
<12,1694,1790,1952>
<13,1694,1774,1902>
<14,1692,1783,1932>
<15,1692,1787,1920>
<16,1692,1773,1902>
<17,1692,1765,1914>
<18,1692,1762,1914>
<19,1692,1762,1928>
<20,1692,1755,1892>
<21,1692,1743,1878>
<22,1692,1742,1880>
<23,1692,1731,1782>
<24,1692,1736,1850>
<25,1692,1734,1848>
<26,1692,1734,1848>
<27,1692,1730,1782>
<28,1692,1730,1792>
<29,1692,1734,1784>
<30,1692,1737,1842>
<31,1692,1731,1842>
<32,1692,1726,1784>
<33,1686,1727,1786>
<34,1686,1732,1784>
<35,1682,1726,1788>
<36,1682,1720,1788>
<37,1682,1718,1758>
<38,1682,1719,1746>
<39,1682,1721,1852>
<40,1672,1717,1758>
<41,1670,1718,1758>
<42,1670,1717,1784>
