572851045 function calls (572848817 primitive calls) in 414.057 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      336    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      155    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      155    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      336    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      181    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    212/1    0.000    0.000    0.137    0.137 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1771    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      147    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      588    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      266    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      332    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      147    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  147/145    0.000    0.000    0.051    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
    147/1    0.001    0.000    0.137    0.137 <frozen importlib._bootstrap>:651(_load_unlocked)
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:707(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:728(create_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(exec_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:753(is_package)
      336    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(find_spec)
      448    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:843(__enter__)
      448    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:847(__exit__)
      152    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap>:870(_find_spec)
    155/1    0.001    0.000    0.137    0.137 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
